,위도,경도,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,약국영업면적,인허가구분명,지정일자,전화번호,상세영업상태명,구별
0,37.5753274,126.973307,새현대약국,서울특별시 종로구 적선동 80 현대아케이트38호,서울특별시종로구사직로130,19890828,운영중,23.0,약국,19890828.0,720-5662,영업중,종로구
1,37.5747052,126.9579272,인성약국,서울특별시 종로구 무악동 42번지 2호,서울특별시종로구통일로250,20080730,운영중,28.2,약국,20080730.0,02-363-8311,영업중,종로구
2,37.5762048,126.9975954,한마음약국,서울특별시 종로구 원남동 118-1 1층,서울특별시종로구창경궁로158,20000814,운영중,154.0,약국,20000814.0,02-3676-4411,영업중,종로구
3,37.5695341,126.9884726,국일약국,서울특별시 종로구 관철동 5-1,서울특별시종로구종로16길12,19840113,운영중,24.0,약국,19840113.0,02-2275-7225,영업중,종로구
4,37.5714192,127.006855,종로세란약국,서울특별시 종로구 종로6가 127-1,서울특별시종로구종로41길4,20050526,운영중,23.0,약국,20050526.0,02-763-3237,영업중,종로구
5,37.5754856,127.0154581,성심약국,서울특별시 종로구 창신동 25번지 4호,서울특별시종로구지봉로61,20080303,운영중,36.5,약국,20080303.0,02-743-2062,영업중,종로구
6,37.5748925,126.9708473,민약국,서울특별시 종로구 내자동 180번지,서울특별시종로구사직로12길26,19680110,운영중,14.76,약국,19680110.0,02-738-8816,영업중,종로구
7,37.5873857,126.9964287,동호약국,서울특별시 종로구 명륜동 3가 2-3,서울특별시종로구성균관로53,19850106,운영중,39.0,약국,19850106.0,02-742-4816,영업중,종로구
8,37.571653,126.9915967,새성은약국,서울특별시 종로구 묘동 190번지 1호   103호,서울특별시종로구돈화문로35-1,19841024,운영중,24.0,약국,19841024.0,02-764-5968,영업중,종로구
9,37.5997036,126.9590644,세검약국,서울특별시 종로구 홍지동 99-3,서울특별시종로구자하문로306,19751001,운영중,25.0,약국,19751001.0,02-395-9944,영업중,종로구
10,37.5795606,127.0017926,함춘약국,서울특별시 종로구 연건동 32-2,서울특별시종로구대학로93,20071019,운영중,95.0,약국,20071019.0,02-741-0370,영업중,종로구
11,37.576328,126.9728404,옥인온누리약국,서울특별시 종로구 적선동 100-1  경복빌딩 103호,서울특별시종로구자하문로2길4,19960918,운영중,80.0,약국,19960918.0,02-725-1490,영업중,종로구
12,37.5819015,126.9999759,정민약국,서울특별시 종로구 명륜4가 144,서울특별시종로구대학로9길37,19791013,운영중,16.0,약국,19791013.0,02-763-3248,영업중,종로구
13,37.5707431,127.0032834,종근당약국,서울특별시 종로구 종로5가 193-2021,서울특별시종로구종로230-1,19940711,운영중,85.0,약국,19940711.0,02-2274-1311,영업중,종로구
14,37.5810637,126.9667284,우리약국,서울특별시 종로구 옥인동 170-34,서울특별시종로구옥인길32-5,19850904,운영중,17.0,약국,19850904.0,02-738-9179,영업중,종로구
15,37.5712428,127.0037726,백수약국,서울특별시 종로구 종로5가 42-1,서울특별시종로구종로233-1,19900326,운영중,79.0,약국,19900326.0,02-766-1083,영업중,종로구
16,37.5715032,126.9890403,성당약국,서울특별시 종로구 낙원동 210번지,서울특별시종로구수표로115,19800819,운영중,13.68,약국,19800819.0,02-765-4342,영업중,종로구
17,37.5805352,127.0044164,한독약국,서울특별시 종로구 동숭동 130-65,서울특별시종로구동숭길52,19750531,운영중,16.0,약국,19750531.0,02-762-4636,영업중,종로구
18,37.5721957,127.0104752,동인약국,서울특별시 종로구 창신동 687-26,서울특별시종로구창신길11,19810924,운영중,24.0,약국,19810924.0,02-743-7371,영업중,종로구
19,37.572462,126.9922129,대흥사약국,서울특별시 종로구 봉익동 22번지 2호,서울특별시종로구돈화문로6가길40,19990817,운영중,22.0,약국,19990817.0,02-764-4548,영업중,종로구
20,37.5814879,126.9848781,돈미약국,서울특별시 종로구 가회동 30-9,서울특별시종로구북촌로51-1,19681115,운영중,39.0,약국,19681115.0,02-763-2220,영업중,종로구
21,37.576308,126.9727173,시민약국,서울특별시 종로구 적선동 106-3,서울특별시종로구자하문로2,19741028,운영중,26.0,약국,19741028.0,02-736-6512,영업중,종로구
22,37.581555,126.9705744,종로프라자약국,서울특별시 종로구 옥인동 19-33,서울특별시종로구자하문로63,20030102,운영중,71.0,약국,20030102.0,02-736-0806,영업중,종로구
23,37.5693466,126.9896275,삼보약국,서울특별시 종로구 관수동 17번지 1호,서울특별시종로구수표로92,19750415,운영중,16.0,약국,19750415.0,02-2279-9230,영업중,종로구
24,37.5758423,127.0015015,희망약국,서울특별시 종로구 연건동 198-2,서울특별시종로구율곡로204,20070102,운영중,49.0,약국,20070102.0,02-747-1139,영업중,종로구
25,37.5698376,126.9796615,참약국,서울특별시 종로구 서린동 111번지 1호 인주빌딩 606호,서울특별시종로구종로22,20000612,운영중,25.0,약국,20000612.0,02-737-4855,영업중,종로구
26,37.57297459999999,127.0146206,믿음약국,서울특별시 종로구 창신동 303번지 명제빌딩 지하1층,서울특별시종로구종로335-1,20080502,운영중,58.0,약국,20080502.0,02-745-6678,영업중,종로구
27,37.5876589,126.9967727,명륜시장약국,서울특별시 종로구 명륜동1가 16-31,서울특별시종로구성균관로56-1,19990227,운영중,42.0,약국,19990227.0,02-747-3443,영업중,종로구
28,37.5766746,127.0157357,숭인다모아약국,서울특별시 종로구 숭인동 56-42외3필지,서울특별시종로구지봉로8길54,20010403,운영중,77.0,약국,20010403.0,02-765-5885,영업중,종로구
29,37.5718712,127.01261,독일약국,서울특별시 종로구 창신동 525,서울특별시종로구종로314,20031007,운영중,100.0,약국,20031007.0,02-764-5511,영업중,종로구
30,37.5706784,127.0003241,열린약국,서울특별시 종로구 종로4가 185번지 12층,서울특별시종로구종로204,20030416,운영중,34.0,약국,20030416.0,02-2264-8210,영업중,종로구
31,37.5673015,126.9676804,늘푸른약국,서울특별시 종로구 평동 166번지 2층,서울특별시종로구새문안로17,20051004,운영중,59.0,약국,20051004.0,02-734-9600,영업중,종로구
32,37.5739951,126.9851157,수도약국,서울특별시 종로구 관훈동 37,서울특별시종로구인사동길40,19840204,운영중,74.0,약국,19840204.0,02-732-3336,영업중,종로구
33,37.5750886,127.0215732,정성약국,서울특별시 종로구 숭인동 1051,서울특별시종로구종로399,19761119,운영중,25.0,약국,19761119.0,02-923-1363,영업중,종로구
34,37.5768577,126.997667,정문약국,서울특별시 종로구 원남동 128-1 1층 2층,서울특별시종로구창경궁로162-2,20000615,운영중,232.0,약국,20000615.0,02-765-7200,영업중,종로구
35,37.5739991,127.0067766,충신약국,서울특별시 종로구 충신동 27-36,서울특별시종로구율곡로259,19800213,운영중,34.0,약국,19800213.0,02-762-9909,영업중,종로구
36,37.5707225,127.0037309,백화점약국,서울특별시 종로구 종로5가 214-1,서울특별시종로구종로234-1,19940719,운영중,320.0,약국,19940719.0,02-2264-1161,영업중,종로구
37,37.5758272,127.0102981,효성약국,서울특별시 종로구 창신2동 634,서울특별시종로구창신길95,19920323,운영중,32.0,약국,19920323.0,02-763-4386,영업중,종로구
38,37.571101,126.9998928,태약국,서울특별시 종로구 종로4가 3,서울특별시종로구종로199-1,19880713,운영중,19.0,약국,19880713.0,02-763-9414,영업중,종로구
39,37.5738039,127.0161663,캐슬온누리약국,서울특별시 종로구 숭인동 76 롯데캐슬 천지인상가 207호,서울특별시종로구종로347,20050218,운영중,50.0,약국,20050218.0,02-3672-0305,영업중,종로구
40,37.567388,126.9678863,푸른온누리약국,서울특별시 종로구 평동 180,서울특별시종로구새문안로19,20040830,운영중,33.0,약국,20040830.0,02-720-0333,영업중,종로구
41,37.6053351,126.9668582,경일약국,서울특별시 종로구 평창동 300-1,서울특별시종로구평창문화로35,19771110,운영중,18.0,약국,19771110.0,02-391-3469,영업중,종로구
42,37.5733118,126.9881204,은성약국,서울특별시 종로구 낙원동 62,서울특별시종로구삼일대로434,19761206,운영중,16.0,약국,19761206.0,02-765-4808,영업중,종로구
