,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
0,국일약국,1200.0,2000.0,37.5695341,126.9884726,종로구
1,민약국,1300.0,2100.0,37.5748925,126.9708473,종로구
2,종근당약국,900.0,2000.0,37.5707431,127.0032834,종로구
3,백수약국,800.0,2100.0,37.57124279999999,127.0037726,종로구
4,한독약국,930.0,2130.0,37.5805352,127.0044164,종로구
5,열린약국,700.0,1800.0,37.5706784,127.0003241,종로구
6,충신약국,800.0,2100.0,37.5739991,127.00677659999998,종로구
7,경일약국,900.0,2100.0,37.60533510000001,126.9668582,종로구
8,동시약국,800.0,1900.0,37.57059279999999,127.0002143,종로구
9,유성약국,830.0,1930.0,37.5706935,127.0022143,종로구
10,동아약국,1000.0,1900.0,37.57056499999999,126.9990577,종로구
11,연합약국,800.0,1900.0,37.5605395,126.9850662,중구
12,새삼성약국,1200.0,1700.0,37.5607238,126.9776002,중구
13,새원약국,1100.0,2100.0,37.56372929999999,126.9852878,중구
14,인우약국,900.0,2100.0,37.5589283,126.96594650000002,중구
15,정원약국,1100.0,2200.0,37.5636675,126.9776064,중구
16,장수약국,900.0,1700.0,37.5652265,127.0195821,중구
17,부일약국,900.0,2100.0,37.5627334,127.0131064,중구
18,남시약국,900.0,1800.0,37.5607285,126.9777281,중구
19,종로백제약국,1000.0,1830.0,37.5712211,127.0039744,종로구
20,부광약국,900.0,1930.0,37.5712049,127.0025981,종로구
21,하트약국,1200.0,2000.0,37.58266589999999,127.0021429,종로구
22,보령약국,900.0,1700.0,37.5713013,127.0004652,종로구
23,신세계약국,1400.0,2100.0,37.5700969,126.9913845,종로구
24,백수약국,800.0,2100.0,37.5716991,127.00131770000002,종로구
25,다산온누리약국,1000.0,2000.0,37.5558422,127.0109529,중구
26,소아제일약국,830.0,1800.0,37.53321700000001,127.0047222,용산구
27,수약국,800.0,1300.0,37.5396294,126.9608563,용산구
28,새인선약국,900.0,2200.0,37.5459875,127.0541717,성동구
29,부일약국,600.0,1800.0,37.55893,127.0368788,성동구
30,새인선약국,900.0,2200.0,37.5514251,127.0678489,성동구
31,신라약국,1100.0,2200.0,37.5500942,127.0670382,성동구
32,연세우리약국,900.0,2100.0,37.5388191,127.0473621,성동구
33,정민약국,1100.0,2300.0,37.5677999,127.0506845,성동구
34,보람약국,900.0,1300.0,37.54011759999999,127.0163862,성동구
35,신세계약국,700.0,2000.0,37.5366902,127.0575116,성동구
