,약국명,토요일 시작,토요일 종료,위도,경도,구별
0,인성약국,900.0,1400.0,37.5747052,126.9579272,종로구
1,한마음약국,830.0,1400.0,37.57620479999999,126.9975954,종로구
2,국일약국,1100.0,2100.0,37.5695341,126.9884726,종로구
3,종로세란약국,900.0,1400.0,37.5714192,127.006855,종로구
4,성심약국,900.0,1500.0,37.5754856,127.0154581,종로구
5,민약국,830.0,2100.0,37.5748925,126.9708473,종로구
6,세검약국,1300.0,2130.0,37.59970360000001,126.9590644,종로구
7,함춘약국,900.0,1300.0,37.5795606,127.0017926,종로구
8,옥인온누리약국,830.0,1300.0,37.576328,126.9728404,종로구
9,정민약국,1000.0,1500.0,37.5819015,126.9999759,종로구
10,종근당약국,900.0,2000.0,37.5707431,127.0032834,종로구
11,우리약국,1000.0,2130.0,37.5810637,126.9667284,종로구
12,백수약국,800.0,2100.0,37.57124279999999,127.0037726,종로구
13,성당약국,1000.0,2100.0,37.5715032,126.9890403,종로구
14,한독약국,930.0,2130.0,37.5805352,127.0044164,종로구
15,동인약국,1200.0,1800.0,37.57219570000001,127.01047520000002,종로구
16,시민약국,900.0,2200.0,37.576308,126.9727173,종로구
17,종로프라자약국,1000.0,2250.0,37.581555,126.9705744,종로구
18,희망약국,800.0,1300.0,37.5758423,127.0015015,종로구
19,참약국,900.0,1300.0,37.5698376,126.9796615,종로구
20,믿음약국,900.0,1600.0,37.57297459999999,127.0146206,종로구
21,명륜시장약국,830.0,2000.0,37.5876589,126.9967727,종로구
22,숭인다모아약국,830.0,2130.0,37.5766746,127.0157357,종로구
23,독일약국,830.0,1900.0,37.5718712,127.01261,종로구
24,열린약국,700.0,2000.0,37.5706784,127.0003241,종로구
25,늘푸른약국,900.0,1300.0,37.5673015,126.9676804,종로구
26,수도약국,930.0,2000.0,37.5739951,126.9851157,종로구
27,정성약국,800.0,2130.0,37.5750886,127.0215732,종로구
28,정문약국,900.0,1400.0,37.57685770000001,126.997667,종로구
29,충신약국,800.0,2100.0,37.5739991,127.00677659999998,종로구
30,백화점약국,700.0,2130.0,37.5707225,127.0037309,종로구
31,효성약국,800.0,2100.0,37.575827200000006,127.0102981,종로구
32,캐슬온누리약국,900.0,1400.0,37.5738039,127.0161663,종로구
33,푸른온누리약국,830.0,1330.0,37.567388,126.9678863,종로구
34,경일약국,900.0,2100.0,37.60533510000001,126.9668582,종로구
35,은성약국,830.0,2100.0,37.5733118,126.9881204,종로구
36,동시약국,700.0,2000.0,37.57059279999999,127.0002143,종로구
37,보성온누리약국,900.0,1900.0,37.5883847,126.9956567,종로구
38,영화약국,830.0,1500.0,37.5732662,127.0058683,종로구
39,한일약국,830.0,1800.0,37.56959310000001,126.9976082,종로구
40,새종로약국,900.0,1800.0,37.5710807,126.9993067,종로구
41,새동서약국,800.0,2000.0,37.5704805,127.0016353,종로구
42,건강한세상약국,900.0,1300.0,37.5674562,126.9679567,종로구
43,성진약국,1000.0,2100.0,37.5855243,127.0005841,종로구
44,대도약국,900.0,1730.0,37.5724446,126.9832451,종로구
45,신코아약국,900.0,2100.0,37.5689137,126.9858978,종로구
46,청자약국,900.0,1900.0,37.5897738,126.9938297,종로구
47,유성약국,830.0,1930.0,37.5706935,127.0022143,종로구
48,보람약국,900.0,1900.0,37.572261,127.0139678,종로구
49,대성약국,800.0,1900.0,37.5700268,127.0103578,종로구
50,대경약국,900.0,2100.0,37.5725774,127.0122667,종로구
51,금왕약국,830.0,2230.0,37.5738368,127.01158999999998,종로구
52,참자연약국,1000.0,1200.0,37.5707008,126.99277659999998,종로구
53,동아약국,900.0,2000.0,37.57056499999999,126.9990577,종로구
54,광교약국,900.0,2130.0,37.56904820000001,126.9831,종로구
55,소담약국,900.0,2100.0,37.5843648,126.9976253,종로구
56,세민약국,900.0,1700.0,37.58034910000001,126.9687784,종로구
57,공생약국,900.0,2000.0,37.57067,127.0030535,종로구
58,제신약국,800.0,2000.0,37.5706612,127.0072579,종로구
59,사랑약국,900.0,1500.0,37.6081556,126.9565535,종로구
60,국화약국,900.0,1800.0,37.6059277,126.9666292,종로구
61,마이팜약국,900.0,1300.0,37.5753978,126.9572779,종로구
62,튼튼약국,900.0,1400.0,37.5840826,127.000797,종로구
63,종각3층다정약국,900.0,1300.0,37.5698561,126.9851538,종로구
64,안국3층약국,900.0,1300.0,37.5762989,126.9845773,종로구
65,서울혜화약국,830.0,2100.0,37.5880001,127.0003433,종로구
66,바로약국,800.0,1300.0,37.5716991,127.00131770000002,종로구
67,남영약국,730.0,1530.0,37.5757217,126.9855621,종로구
68,인앤아웃약국,1000.0,1300.0,37.5708033,126.9798544,종로구
