,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
0,새현대약국,,,,,,,37.5753274,126.973307,종로구
1,인성약국,0900,1400,,,,,37.574705200000004,126.95792720000001,종로구
2,한마음약국,0830,1400,,,,,37.57620479999999,126.99759540000001,종로구
3,국일약국,1100,2100,1500,2000,1200,2000,37.5695341,126.98847260000001,종로구
4,종로세란약국,0900,1400,,,,,37.5714192,127.006855,종로구
5,성심약국,0900,1500,,,,,37.5754856,127.0154581,종로구
6,민약국,0830,2100,1300,2100,1300,2100,37.5748925,126.9708473,종로구
7,세검약국,1300,2130,1300,2130,,,37.599703600000005,126.9590644,종로구
8,함춘약국,0900,1300,,,,,37.5795606,127.0017926,종로구
9,옥인온누리약국,0830,1300,0830,1300,,,37.576328000000004,126.97284040000001,종로구
10,정민약국,1000,1500,,,,,37.5819015,126.99997590000001,종로구
11,종근당약국,0900,2000,0900,2000,0900,2000,37.5707431,127.0032834,종로구
12,우리약국,1000,2130,1300,1930,,,37.5810637,126.9667284,종로구
13,백수약국,0800,2100,0800,2100,0800,2100,37.57124279999999,127.0037726,종로구
14,성당약국,1000,2100,0900,2100,,,37.5715032,126.9890403,종로구
15,한독약국,0930,2130,1200,2130,0930,2130,37.5805352,127.00441640000001,종로구
16,동인약국,1200,1800,,,,,37.57219570000001,127.01047520000002,종로구
17,시민약국,0900,2200,,,,,37.576308000000004,126.9727173,종로구
18,종로프라자약국,1000,2250,1000,2250,,,37.581555,126.97057439999999,종로구
19,희망약국,0800,1300,,,,,37.5758423,127.00150149999999,종로구
20,참약국,0900,1300,,,,,37.5698376,126.9796615,종로구
21,믿음약국,0900,1600,,,,,37.57297459999999,127.0146206,종로구
22,명륜시장약국,0830,2000,,,,,37.5876589,126.9967727,종로구
23,숭인다모아약국,0830,2130,1000,1300,,,37.576674600000004,127.01573570000001,종로구
24,독일약국,0830,1900,,,,,37.571871200000004,127.01261000000001,종로구
25,열린약국,0700,2000,0700,1800,0700,1800,37.5706784,127.00032409999999,종로구
26,늘푸른약국,0900,1300,,,,,37.5673015,126.9676804,종로구
27,수도약국,0930,2000,1200,1900,,,37.5739951,126.98511570000001,종로구
28,정성약국,0800,2130,0900,2100,,,37.5750886,127.0215732,종로구
29,정문약국,0900,1400,,,,,37.576857700000005,126.99766699999999,종로구
30,충신약국,0800,2100,,,0800,2100,37.5739991,127.00677659999998,종로구
31,백화점약국,0700,2130,0800,2100,,,37.570722499999995,127.00373090000001,종로구
32,효성약국,0800,2100,0900,2100,,,37.575827200000006,127.01029809999999,종로구
33,캐슬온누리약국,0900,1400,,,,,37.5738039,127.0161663,종로구
34,푸른온누리약국,0830,1330,,,,,37.567388,126.96788629999999,종로구
35,경일약국,0900,2100,0900,2100,0900,2100,37.605335100000005,126.96685819999999,종로구
36,은성약국,0830,2100,,,,,37.5733118,126.98812040000001,종로구
37,동시약국,0700,2000,0800,1900,0800,1900,37.57059279999999,127.0002143,종로구
38,보성온누리약국,0900,1900,1000,1900,,,37.5883847,126.9956567,종로구
39,영화약국,0830,1500,,,,,37.5732662,127.0058683,종로구
40,한일약국,0830,1800,,,,,37.569593100000006,126.99760819999999,종로구
41,푸른소나무약국,,,,,,,37.5723555,126.98180179999999,종로구
42,새종로약국,0900,1800,,,,,37.5710807,126.9993067,종로구
43,새동서약국,0800,2000,,,,,37.5704805,127.00163529999999,종로구
44,건강한세상약국,0900,1300,,,,,37.5674562,126.9679567,종로구
45,성진약국,1000,2100,,,,,37.585524299999996,127.0005841,종로구
46,대도약국,0900,1730,,,,,37.5724446,126.98324509999999,종로구
47,현대온누리약국,,,,,,,37.5781153,126.98749609999999,종로구
48,신코아약국,0900,2100,,,,,37.5689137,126.98589779999999,종로구
49,청자약국,0900,1900,,,,,37.589773799999996,126.9938297,종로구
50,유성약국,0830,1930,,,0830,1930,37.5706935,127.00221429999999,종로구
51,보람약국,0900,1900,0900,1900,,,37.572261,127.0139678,종로구
52,대성약국,0800,1900,,,,,37.5700268,127.0103578,종로구
53,대경약국,0900,2100,0900,2100,,,37.5725774,127.01226670000001,종로구
54,금왕약국,0830,2230,0900,1930,,,37.573836799999995,127.01158999999998,종로구
55,참자연약국,1000,1200,,,,,37.5707008,126.99277659999998,종로구
56,동아약국,0900,2000,1000,1900,1000,1900,37.57056499999999,126.99905770000001,종로구
57,광교약국,0900,2130,1000,2130,,,37.569048200000005,126.9831,종로구
58,소담약국,0900,2100,1300,2100,,,37.584364799999996,126.9976253,종로구
59,송이약국,,,,,,,37.5740273,127.01540829999999,종로구
60,세민약국,0900,1700,,,,,37.58034910000001,126.9687784,종로구
61,공생약국,0900,2000,1000,1900,,,37.57067,127.0030535,종로구
62,제신약국,0800,2000,,,,,37.5706612,127.00725790000001,종로구
63,사랑약국,0900,1500,,,,,37.6081556,126.9565535,종로구
64,국화약국,0900,1800,,,,,37.6059277,126.96662920000001,종로구
65,마이팜약국,0900,1300,,,,,37.5753978,126.95727790000001,종로구
66,튼튼약국,0900,1400,,,,,37.5840826,127.00079699999999,종로구
67,종각3층다정약국,0900,1300,,,,,37.569856099999996,126.98515379999999,종로구
68,팜플러스약국,,,,,,,37.56984750000001,126.98603680000001,종로구
69,안국온누리약국,,,,,,,37.5757217,126.98556210000001,종로구
70,임자약국,,,,,,,37.5736414,127.00388559999999,종로구
71,안국3층약국,0900,1300,,,,,37.5762989,126.9845773,종로구
72,서울혜화약국,0830,2100,1300,2100,,,37.5880001,127.0003433,종로구
73,바로약국,0800,1300,,,,,37.571699100000004,127.00131770000002,종로구
74,남영약국,0730,1530,,,,,37.5757217,126.98556210000001,종로구
