,약국명,일요일 시작,일요일 종료,위도,경도,구별
0,국일약국,1500.0,2000.0,37.5695341,126.9884726,종로구
1,민약국,1300.0,2100.0,37.5748925,126.9708473,종로구
2,세검약국,1300.0,2130.0,37.59970360000001,126.9590644,종로구
3,옥인온누리약국,830.0,1300.0,37.576328,126.9728404,종로구
4,종근당약국,900.0,2000.0,37.5707431,127.0032834,종로구
5,우리약국,1300.0,1930.0,37.5810637,126.9667284,종로구
6,백수약국,800.0,2100.0,37.57124279999999,127.0037726,종로구
7,성당약국,900.0,2100.0,37.5715032,126.9890403,종로구
8,한독약국,1200.0,2130.0,37.5805352,127.0044164,종로구
9,종로프라자약국,1000.0,2250.0,37.581555,126.9705744,종로구
10,숭인다모아약국,1000.0,1300.0,37.5766746,127.0157357,종로구
11,열린약국,700.0,1800.0,37.5706784,127.0003241,종로구
12,수도약국,1200.0,1900.0,37.5739951,126.9851157,종로구
13,정성약국,900.0,2100.0,37.5750886,127.0215732,종로구
14,백화점약국,800.0,2100.0,37.5707225,127.0037309,종로구
15,효성약국,900.0,2100.0,37.575827200000006,127.0102981,종로구
16,경일약국,900.0,2100.0,37.60533510000001,126.9668582,종로구
17,동시약국,800.0,1900.0,37.57059279999999,127.0002143,종로구
18,보성온누리약국,1000.0,1900.0,37.5883847,126.9956567,종로구
19,보람약국,900.0,1900.0,37.572261,127.0139678,종로구
20,대경약국,900.0,2100.0,37.5725774,127.0122667,종로구
21,금왕약국,900.0,1930.0,37.5738368,127.01158999999998,종로구
22,동아약국,1000.0,1900.0,37.57056499999999,126.9990577,종로구
23,광교약국,1000.0,2130.0,37.56904820000001,126.9831,종로구
24,소담약국,1300.0,2100.0,37.5843648,126.9976253,종로구
25,공생약국,1000.0,1900.0,37.57067,127.0030535,종로구
26,서울혜화약국,1300.0,2100.0,37.5880001,127.0003433,종로구
27,센츄럴팜약국,1000.0,2200.0,37.555042,126.9695336,중구
28,새삼성약국,1200.0,1700.0,37.5607238,126.9776002,중구
29,새원약국,1000.0,2100.0,37.56372929999999,126.9852878,중구
30,장수약국,900.0,1700.0,37.5652265,127.0195821,중구
31,남시약국,900.0,1800.0,37.5607285,126.9777281,중구
32,우정약국,800.0,1200.0,37.5705358,126.99986979999998,종로구
33,종로백제약국,1000.0,1830.0,37.5712211,127.0039744,종로구
34,부광약국,900.0,1930.0,37.5712049,127.0025981,종로구
