연번,정류소명,정류소번호,총계,승차 일반,승차 청소년,승차 어린이,환승 일반,환승 청소년,환승 어린이
1,광천터미널,2001,2626061,1612868,186236,10975,704780,105422,5780
2,광천터미널,2002,1746694,1235647,149562,18406,306060,34557,2462
3,경신여고,4435,1476208,647495,127228,5938,632049,60286,3212
4,경신여고,4434,1475232,850362,118759,4576,459665,40276,1594
5,도로교통공단 대신파크,4380,1267283,863139,78771,7975,285801,29685,1912
6,전남대병원/남광주시장,1147,1238725,880635,48377,5904,280544,21869,1396
7,남광주역,1141,1197078,555486,43418,2510,531845,61534,2285
8,금남로4가역,1112,1151433,812295,158323,9882,149256,19278,2399
9,광주세무서,1134,1086464,716636,160165,5621,176896,24077,3069
10,국립아시아문화전당(구.도청),1122,1036106,730339,114193,5961,164076,19276,2261
11,남광주역,1142,969905,597520,57878,3915,282345,27251,996
12,충장치안센터,1136,956062,688193,115750,4002,132885,13640,1592
13,운암3단지,4432,923068,488419,77902,3039,314336,37944,1428
14,문화전당역,1130,918738,667929,111177,3740,118582,16099,1211
15,광주병원,4171,891208,581151,71510,19871,190180,26264,2232
16,예술의거리입구,1127,872241,599763,79354,7727,171030,12955,1412
17,살레시오여고,1018,871004,524466,170881,7154,148366,18542,1595
18,일곡사거리,4475,837591,506606,181577,14910,109986,21438,3074
19,대성여고,3236,827926,559260,169601,12007,71073,14550,1435
20,도로교통공단 대신파크,4379,817375,449107,52584,7787,271274,34383,2240
21,신세계백화점,2276,801392,568125,49819,7510,162125,12486,1327
22,북부경찰서,4368,797837,463331,97132,5964,198856,30612,1942
23,살레시오여고,1017,777552,536087,113242,6717,107080,13311,1115
24,전남대병원/남광주시장,1146,764709,455080,23658,3506,264840,16505,1120
25,학동증심사입구역,1151,763264,425015,93633,13054,207176,22617,1769
26,대광여고,3209,749764,516129,167098,5783,47829,11772,1153
27,전남대사거리(동),4349,741502,369693,30462,1539,321085,17745,978
28,광주역,4334,731756,407683,65944,7353,230528,18443,1805
29,광천파출소,2004,726199,490360,42284,4888,169852,17553,1262
30,광주공고입구,4197,710912,351813,105403,9453,208900,32342,3001
31,시청,2232,709097,454661,61284,21965,150428,19334,1425
32,무등도서관,4175,703679,475966,57309,6614,147127,15612,1051
33,백운우체국,3091,702165,410206,54755,2825,205809,27506,1064
34,동성고,3241,701978,471007,145747,15642,59419,8867,1296
35,전남대후문(남),4406,677273,542269,66388,1633,58494,7984,505
36,선암,5242,663912,472820,110134,59055,16981,4458,464
37,월곡일신아파트,5314,657691,431294,63373,2856,142356,16717,1095
38,광주송정역,5159,655347,386750,80490,53050,117288,16599,1170
39,동천마을3단지,4149,647487,328905,60340,1973,219035,36153,1081
40,광주병원,4170,646383,349780,54954,10742,202402,26213,2292
41,서구문화센터,2032,646042,434270,89331,15198,87387,17842,2014
42,전남대사거리(동),4348,645060,390558,28468,1877,209571,13497,1089
43,서일초교,4467,641637,391138,171534,51224,17793,8213,1735
44,첨단2동주민센터,5445,641240,400427,113200,14811,90721,20474,1607
45,동천마을3단지,4150,627496,358332,57885,2842,184389,22951,1097
46,송정공원역,5149,625529,291755,57634,6458,229724,38361,1597
47,백운우체국,3093,619398,314935,44425,2938,222679,33469,952
48,운암3단지,4455,619227,426474,57714,3012,118526,12851,650
49,현대자동차,2051,602572,428401,50715,4876,104612,12696,1272
50,광주공고입구,4198,600061,347225,93013,4608,128403,24133,2679
51,서구문화센터,2031,595998,349345,87953,5416,127981,23856,1447
52,말바우시장(동),4165,587955,383881,26953,2173,166674,7663,611
53,조선대,1048,576730,445267,57307,3151,63463,6844,698
54,송하삼익아파트,3159,576373,409240,73350,33304,52358,7221,900
55,진월대주아파트,3243,565413,412832,97599,7947,38177,7631,1227
56,북부경찰서,4369,549863,280382,54533,5389,163773,42605,3181
57,운암벽산블루밍,4431,547418,385818,51359,2929,96162,10449,701
58,금남로4가역,1111,544697,380839,29898,1944,123062,8500,454
59,운천저수지,2089,528757,268751,31723,3220,196947,26965,1151
60,북구청,4554,521972,403847,39110,944,70360,7329,382
61,남광주농협,3208,521717,398488,42590,3402,68398,8302,537
62,전남대후문위,4411,520851,419428,29652,2652,63166,5383,570
63,신가동,5303,520427,383741,53440,2889,69722,9658,977
64,양동시장역(북),2167,520288,378473,11565,3901,122470,3382,497
65,조선대,1047,519564,393397,43931,2942,70660,8009,625
