,정류소명,총계,동이름,lat,lng
0,광천터미널,2317648,광천동,35.1614835,126.8798115
1,광천터미널,1541707,광천동,35.1614835,126.8798115
2,경신여고,1279544,운암2동,35.172823,126.888636
3,경신여고,1310027,운암2동,35.172823,126.888636
4,도로교통공단 대신파크,1148940,용봉동,35.1823655,126.9091245
5,전남대병원/남광주시장,1161179,학동,35.14104950000001,126.9216265
6,남광주역,1087331,학동,35.139451,126.922884
7,금남로4가역,961551,충장동,35.150783,126.914478
8,광주세무서,893532,충장동,35.148102,126.912929
9,국립아시아문화전당(구.도청),894415,충장동,35.147953,126.91843
10,남광주역,879865,학동,35.139451,126.922884
11,충장치안센터,821078,충장동,35.148629,126.91346
12,운암3단지,802755,운암3동,35.178306,126.87721
13,문화전당역,786511,서남동,35.146426,126.920029
14,광주병원,771331,두암동,35.178976,126.92925
15,예술의거리입구,770793,두암동,35.151044,126.916347
16,살레시오여고,672832,동명동,35.147305,126.927679
17,일곡사거리,616592,일곡동,35.203678,126.89855
18,대성여고,630333,효덕동,35.11852,126.899105
19,도로교통공단 대신파크,720381,용봉동,35.1823655,126.9091245
20,신세계백화점,730250,화정1동,35.158532,126.883331
21,북부경찰서,662187,오치2동,35.187366,126.899967
22,살레시오여고,643167,동명동,35.147305,126.927679
23,전남대병원/남광주시장,719920,학동,35.14104950000001,126.9216265
24,학동증심사입구역,632191,학동,35.1344125,126.927431
25,대광여고,563958,주월1동,35.126657,126.89792
26,전남대사거리(동),690778,신안동,35.168443,126.904525
27,광주역,638211,신안동,35.164679,126.907001
28,광천파출소,660212,광천동,35.1640615,126.88375
29,광주공고입구,560713,매곡동,35.188907,126.898859
30,시청,605089,치평동,35.158705,126.854517
31,무등도서관,623093,두암동,35.174418,126.926532
32,백운우체국,616015,백운2동,35.135847,126.901428
33,동성고,530426,효덕동,35.114323,126.897593
34,전남대후문(남),600763,용봉동,35.1749875,126.9126265
36,월곡일신아파트,573650,월곡동,35.16752,126.808741
37,광주송정역,504038,송정2동,35.137196,126.79212
38,동천마을3단지,547940,동천동,35.17187500000001,126.863203
39,광주병원,552182,두암동,35.178976,126.92925
40,서구문화센터,521657,금호2동,35.131487,126.859716
41,전남대사거리(동),600129,신안동,35.168443,126.904525
44,동천마을3단지,542721,동천동,35.17187500000001,126.863203
45,송정공원역,521479,송정동,35.14332,126.798866
46,백운우체국,537614,백운2동,35.135847,126.901428
47,운암3단지,545000,운암3동,35.178306,126.87721
48,현대자동차,533013,광천동,35.161108,126.885063
51,말바우시장(동),550555,우산동,35.172489,126.924505
52,조선대,508730,서남동,35.144417,126.926279
57,금남로4가역,503901,충장동,35.150783,126.914478
63,양동시장역(북),500943,양동,35.1541655,126.9011385
